CASEID,PSU,CASENO,CASENUMBER,CATEGORY,EVENTNO,VEHNUM,CLASS1,GAD1,CLASS2,GAD2
6035,23,1,1-23-2017-001-04,4,1,1,3,F,0,0
6045,17,1,1-17-2017-001-10,10,1,1,1,F,0,0
6042,32,1,1-32-2017-001-09,9,1,1,15,F,0,0
6050,13,1,1-13-2017-001-04,4,1,1,5,F,4,R
6050,13,1,1-13-2017-001-04,4,2,2,4,L,14,F
6054,20,1,1-20-2017-001-10,10,1,1,5,F,0,0
6068,19,1,1-19-2017-001-06,6,1,1,4,B,3,F
6062,16,1,1-16-2017-001-10,10,1,1,3,R,0,0
6092,14,1,1-14-2017-001-05,5,1,1,2,R,31,F
6092,14,1,1-14-2017-001-05,5,2,1,2,R,31,L
6095,24,1,1-24-2017-001-07,7,1,1,14,L,4,R
6103,16,2,1-16-2017-002-03,3,1,2,4,F,4,B
6101,32,2,1-32-2017-002-02,2,2,1,4,L,0,0
6101,32,2,1-32-2017-002-02,2,1,1,4,R,31,F
6104,16,3,1-16-2017-003-05,5,1,1,3,R,2,L
6104,16,3,1-16-2017-003-05,5,2,2,2,F,0,0
6110,12,1,1-12-2017-001-06,6,1,1,4,F,5,B
6113,29,1,1-29-2017-001-03,3,1,1,3,F,31,B
6105,19,2,1-19-2017-002-05,5,1,1,5,L,68,F
6106,19,3,1-19-2017-003-02,2,1,1,3,F,0,0
6111,19,4,1-19-2017-004-05,5,1,1,31,L,0,0
6118,17,3,1-17-2017-003-08,8,1,1,30,U,0,0
6085,30,1,1-30-2017-001-03,3,1,1,3,F,5,L
6085,30,1,1-30-2017-001-03,3,2,2,5,L,0,N
6085,30,1,1-30-2017-001-03,3,3,2,5,T,0,0
6114,27,1,1-27-2017-001-07,7,1,1,14,F,0,0
6130,23,3,1-23-2017-003-06,6,1,1,3,R,3,F
6122,13,3,1-13-2017-003-09,9,1,1,31,F,4,L
6093,23,2,1-23-2017-002-07,7,1,1,3,L,0,0
6121,13,2,1-13-2017-002-03,3,1,1,2,B,3,F
6121,13,2,1-13-2017-002-03,3,2,2,3,F,0,0
6117,17,2,1-17-2017-002-09,9,1,1,4,F,0,0
6124,31,1,1-31-2017-001-10,10,1,1,14,L,0,N
6137,33,1,1-33-2017-001-05,5,1,1,2,F,31,B
6131,22,1,1-22-2017-001-02,2,1,1,4,L,31,F
6140,20,2,1-20-2017-002-03,3,1,1,2,T,0,N
6142,15,1,1-15-2017-001-02,2,1,1,4,F,14,L
6148,28,1,1-28-2017-001-04,4,1,1,1,F,0,0
6150,10,1,1-10-2017-001-09,9,1,1,14,F,0,0
6129,18,1,1-18-2017-001-10,10,1,1,31,F,0,0
6144,26,1,1-26-2017-001-10,10,1,1,4,F,15,R
6144,26,1,1-26-2017-001-10,10,2,2,15,L,0,0
6133,21,1,1-21-2017-001-03,3,1,1,2,L,0,0
6133,21,1,1-21-2017-001-03,3,2,1,2,L,0,0
6133,21,1,1-21-2017-001-03,3,3,1,2,B,0,0
6134,21,2,1-21-2017-002-09,9,1,1,14,F,0,0
6157,30,3,1-30-2017-003-04,4,1,2,31,F,3,L
6132,22,2,1-22-2017-002-06,6,1,1,2,L,0,0
6112,19,5,1-19-2017-005-03,3,1,1,9,9,4,F
6155,30,2,1-30-2017-002-05,5,1,1,3,F,0,0
6155,30,2,1-30-2017-002-05,5,2,1,3,T,0,0
6149,25,2,1-25-2017-002-10,10,2,2,31,F,31,B
6149,25,2,1-25-2017-002-10,10,1,3,3,F,31,B
6151,25,3,1-25-2017-003-06,6,1,1,31,F,2,F
6151,25,3,1-25-2017-003-06,6,2,1,31,N,0,N
6164,28,2,1-28-2017-002-06,6,1,1,2,F,0,0
6164,28,2,1-28-2017-002-06,6,2,1,2,R,0,0
6165,23,4,1-23-2017-004-06,6,1,1,14,F,0,0
6165,23,4,1-23-2017-004-06,6,2,1,14,R,0,0
6165,23,4,1-23-2017-004-06,6,3,1,14,F,0,0
6166,23,5,1-23-2017-005-04,4,1,1,3,F,0,0
6170,32,4,1-32-2017-004-03,3,1,1,2,F,4,B
6174,16,4,1-16-2017-004-02,2,1,1,4,L,2,F
6175,16,5,1-16-2017-005-09,9,1,1,30,L,2,F
6175,16,5,1-16-2017-005-09,9,2,1,30,L,2,R
6177,31,2,1-31-2017-002-10,10,1,1,4,F,3,R
6185,12,2,1-12-2017-002-06,6,2,1,14,F,0,0
6185,12,2,1-12-2017-002-06,6,3,1,14,F,14,F
6185,12,2,1-12-2017-002-06,6,1,1,14,R,0,0
6183,17,5,1-17-2017-005-04,4,1,1,4,F,0,0
6184,17,6,1-17-2017-006-04,4,1,1,4,L,0,0
6184,17,6,1-17-2017-006-04,4,2,1,4,L,0,0
6182,17,4,1-17-2017-004-09,9,1,1,4,F,14,F
6176,14,2,1-14-2017-002-06,6,1,1,31,R,5,F
6191,29,2,1-29-2017-002-05,5,1,1,3,F,0,0
6197,21,3,1-21-2017-003-10,10,1,1,5,F,0,0
6197,21,3,1-21-2017-003-10,10,2,1,5,F,0,0
6195,24,2,1-24-2017-002-02,2,1,1,4,F,14,F
6192,26,2,1-26-2017-002-09,9,1,1,3,B,2,F
6188,19,8,1-19-2017-008-08,8,1,1,3,L,0,0
6188,19,8,1-19-2017-008-08,8,2,1,3,L,0,0
6188,19,8,1-19-2017-008-08,8,3,1,3,L,0,0
6188,19,8,1-19-2017-008-08,8,4,1,3,B,0,0
6186,19,6,1-19-2017-006-04,4,1,1,14,L,21,F
6187,19,7,1-19-2017-007-05,5,1,1,30,R,3,F
6189,19,9,1-19-2017-009-05,5,1,1,4,F,0,0
6196,24,3,1-24-2017-003-03,3,2,1,20,F,0,0
6196,24,3,1-24-2017-003-03,3,1,2,3,F,20,L
6203,33,2,1-33-2017-002-03,3,1,1,31,T,0,N
6204,33,3,1-33-2017-003-09,9,1,1,3,F,0,0
6204,33,3,1-33-2017-003-09,9,2,1,3,F,0,0
6199,22,4,1-22-2017-004-07,7,1,1,3,F,0,0
6200,22,5,1-22-2017-005-04,4,1,1,3,L,0,0
6200,22,5,1-22-2017-005-04,4,2,1,3,F,0,0
6198,22,3,1-22-2017-003-09,9,1,1,31,F,31,B
6180,13,5,1-13-2017-005-03,3,1,1,14,L,1,F
6198,22,3,1-22-2017-003-09,9,2,2,31,F,2,B
6179,13,4,1-13-2017-004-03,3,3,2,14,F,31,B
6179,13,4,1-13-2017-004-03,3,2,3,4,F,14,B
6179,13,4,1-13-2017-004-03,3,1,4,14,F,4,B
6207,20,4,1-20-2017-004-04,4,1,1,3,F,31,L
6207,20,4,1-20-2017-004-04,4,2,2,31,R,4,L
6209,15,2,1-15-2017-002-02,2,2,1,3,F,0,0
6209,15,2,1-15-2017-002-02,2,3,1,3,F,0,0
6209,15,2,1-15-2017-002-02,2,4,1,3,R,0,0
6209,15,2,1-15-2017-002-02,2,1,1,3,L,0,0
6210,15,3,1-15-2017-003-03,3,1,1,14,F,14,B
6210,15,3,1-15-2017-003-03,3,2,2,14,F,3,B
6211,18,2,1-18-2017-002-04,4,1,1,31,B,3,F
6214,18,3,1-18-2017-003-10,10,1,1,14,T,0,N
6215,32,5,1-32-2017-005-05,5,1,1,1,L,2,F
6206,20,3,1-20-2017-003-02,2,1,1,3,L,0,0
6206,20,3,1-20-2017-003-02,2,2,1,3,F,0,0
6206,20,3,1-20-2017-003-02,2,3,1,3,T,0,N
6217,30,4,1-30-2017-004-04,4,1,1,3,F,0,0
6218,30,5,1-30-2017-005-07,7,1,1,30,L,3,R
6218,30,5,1-30-2017-005-07,7,3,1,30,F,0,0
6218,30,5,1-30-2017-005-07,7,2,2,3,L,0,0
6222,14,4,1-14-2017-004-10,10,1,1,2,F,4,R
6222,14,4,1-14-2017-004-10,10,2,2,4,B,3,R
6219,30,6,1-30-2017-006-04,4,2,1,4,F,0,0
6219,30,6,1-30-2017-006-04,4,1,1,4,L,0,0
6201,22,6,1-22-2017-006-03,3,1,1,14,U,0,0
6223,14,5,1-14-2017-005-06,6,1,1,14,F,31,B
6223,14,5,1-14-2017-005-06,6,2,1,14,F,0,0
6233,32,7,1-32-2017-007-09,9,1,1,2,F,0,0
6228,10,3,1-10-2017-003-09,9,2,1,3,L,0,0
6228,10,3,1-10-2017-003-09,9,3,1,3,F,0,0
6232,32,6,1-32-2017-006-04,4,1,1,4,F,31,B
6234,32,8,1-32-2017-008-06,6,1,1,14,F,14,R
6225,23,7,1-23-2017-007-07,7,1,2,2,F,31,B
6236,16,7,1-16-2017-007-07,7,1,1,99,9,2,L
6238,12,3,1-12-2017-003-04,4,1,1,31,F,14,R
6237,16,8,1-16-2017-008-07,7,1,1,31,R,4,L
6242,12,4,1-12-2017-004-07,7,2,1,4,R,0,N
6242,12,4,1-12-2017-004-07,7,1,1,4,F,0,0
6229,24,4,1-24-2017-004-07,7,1,1,21,F,0,0
6230,24,5,1-24-2017-005-03,3,1,2,4,F,5,L
6241,31,4,1-31-2017-004-06,6,1,1,31,F,0,0
6241,31,4,1-31-2017-004-06,6,2,1,31,F,0,0
6241,31,4,1-31-2017-004-06,6,3,1,31,F,0,0
6240,31,3,1-31-2017-003-09,9,1,1,15,F,0,0
6245,17,8,1-17-2017-008-03,3,1,1,3,F,3,L
6247,17,10,1-17-2017-010-07,7,1,1,4,F,3,B
6246,17,9,1-17-2017-009-03,3,1,1,4,R,15,F
6244,17,7,1-17-2017-007-06,6,1,1,4,F,4,B
6260,33,4,1-33-2017-004-09,9,1,1,30,R,60,R
6255,22,8,1-22-2017-008-07,7,1,1,3,F,0,0
6255,22,8,1-22-2017-008-07,7,2,1,3,B,0,0
6256,22,9,1-22-2017-009-09,9,1,1,14,T,0,N
6254,22,7,1-22-2017-007-09,9,1,1,3,T,0,N
6260,33,4,1-33-2017-004-09,9,2,2,60,L,15,L
6224,23,6,1-23-2017-006-06,6,1,1,3,F,0,0
6224,23,6,1-23-2017-006-06,6,2,1,3,F,0,0
6262,33,6,1-33-2017-006-10,10,1,1,5,F,5,L
6253,13,8,1-13-2017-008-01,1,1,1,3,F,68,L
6251,13,6,1-13-2017-006-03,3,1,1,4,F,0,0
6251,13,6,1-13-2017-006-03,3,2,1,4,B,15,F
6243,21,4,1-21-2017-004-03,3,1,1,15,F,3,R
6243,21,4,1-21-2017-004-03,3,4,2,3,F,0,0
6243,21,4,1-21-2017-004-03,3,2,2,3,F,0,0
6243,21,4,1-21-2017-004-03,3,3,2,3,F,0,0
6261,33,5,1-33-2017-005-09,9,1,1,14,R,3,F
6265,19,12,1-19-2017-012-07,7,1,1,3,F,14,B
6266,19,13,1-19-2017-013-05,5,1,1,4,F,0,0
6266,19,13,1-19-2017-013-05,5,2,1,4,N,0,N
6252,13,7,1-13-2017-007-02,2,1,2,3,F,0,0
6252,13,7,1-13-2017-007-02,2,2,2,3,L,68,F
6269,19,14,1-19-2017-014-09,9,1,1,14,F,0,0
6269,19,14,1-19-2017-014-09,9,2,1,14,F,0,0
6270,19,15,1-19-2017-015-06,6,1,1,31,R,31,F
6257,22,10,1-22-2017-010-06,6,1,1,14,R,14,F
6257,22,10,1-22-2017-010-06,6,2,1,14,R,14,L
6272,20,6,1-20-2017-006-01,1,1,1,30,F,0,0
6273,20,7,1-20-2017-007-03,3,1,1,31,F,2,B
6273,20,7,1-20-2017-007-03,3,2,2,2,F,15,B
6249,28,4,1-28-2017-004-04,4,1,1,4,F,0,0
6248,28,3,1-28-2017-003-08,8,1,1,3,F,0,0
6248,28,3,1-28-2017-003-08,8,2,1,3,B,0,0
6248,28,3,1-28-2017-003-08,8,3,1,3,B,0,0
6258,18,4,1-18-2017-004-10,10,1,1,4,F,4,B
6259,18,5,1-18-2017-005-09,9,1,1,20,F,2,F
6274,30,7,1-30-2017-007-03,3,1,1,31,F,0,0
6277,30,10,1-30-2017-010-03,3,1,1,14,F,14,F
6277,30,10,1-30-2017-010-03,3,3,2,14,L,0,0
6277,30,10,1-30-2017-010-03,3,2,2,14,R,0,0
6275,30,8,1-30-2017-008-02,2,1,1,3,F,15,B
6279,26,3,1-26-2017-003-02,2,1,1,30,F,1,B
6271,20,5,1-20-2017-005-03,3,1,1,14,F,3,B
6281,30,11,1-30-2017-011-02,2,1,1,14,F,14,B
6268,15,5,1-15-2017-005-03,3,1,1,2,F,3,R
6267,15,4,1-15-2017-004-09,9,1,1,1,F,14,B
