CASEID,PSU,CASENO,CASENUMBER,DAMPLANE,CATEGORY,VEHNO,DVLONG,DVLAT,DVTOTAL,CRASHTYPE,PREFHE,MODELYR,BODYTYPE,BODYCAT,SPEEDLIMIT,CRITEVENT,CRASHCONF,DRUGTEST,ALCTESTRESULT,ALCTESTSRC
6035,23,1,1-23-2017-001-04,F,4,1,999,999,999,13,0,2014,4,1,89,87,C,0,995,0
6045,17,1,1-17-2017-001-10,F,10,1,999,999,999,14,0,1998,4,1,89,14,C,9,995,0
6042,32,1,1-32-2017-001-09,F,9,1,-10,-8,13,7,1,2002,15,3,72,6,B,0,995,0
6050,13,1,1-13-2017-001-04,F,4,1,-5,4,6,86,0,2016,4,1,72,66,L,0,995,0
6050,13,1,1-13-2017-001-04,R,4,2,-5,-5,7,87,0,2016,4,1,72,66,L,0,995,0
6050,13,1,1-13-2017-001-04,F,4,3,-3,1,4,98,0,2010,14,3,72,62,M,0,995,0
6054,20,1,1-20-2017-001-10,F,10,1,999,999,999,14,1,2006,4,1,32,14,C,0,995,0
6068,19,1,1-19-2017-001-06,B,6,1,32,0,32,78,0,1991,4,1,89,16,K,0,995,0
6068,19,1,1-19-2017-001-06,F,6,2,-30,0,30,79,0,2009,4,1,89,65,K,0,995,0
6062,16,1,1-16-2017-001-10,R,10,1,999,999,999,98,8,2004,4,1,40,8,M,8,887,6
6092,14,1,1-14-2017-001-05,R,5,1,-15,-41,44,87,0,2012,4,1,97,17,L,1,0,2
6092,14,1,1-14-2017-001-05,F,5,2,-20,12,23,86,0,2007,34,5,97,55,L,0,995,0
6095,24,1,1-24-2017-001-07,L,7,1,0,9,9,45,0,2012,14,3,40,60,F,0,995,0
6095,24,1,1-24-2017-001-07,R,7,2,0,-10,10,46,1,2015,4,1,56,11,F,0,995,0
6103,16,2,1-16-2017-002-03,B,3,1,25,0,25,29,0,2005,6,1,40,18,D,0,995,0
6103,16,2,1-16-2017-002-03,F,3,2,-32,0,32,28,0,2015,4,1,40,52,D,0,995,0
6101,32,2,1-32-2017-002-02,R,2,1,-12,-20,23,68,0,2014,4,1,56,15,J,0,995,0
6101,32,2,1-32-2017-002-02,F,2,2,-17,3,17,69,0,2014,34,5,56,62,J,0,995,0
6104,16,3,1-16-2017-003-05,R,5,1,999,999,999,46,1,1999,4,1,56,11,F,0,995,0
6104,16,3,1-16-2017-003-05,F,5,2,999,999,999,45,0,2009,6,1,56,60,F,0,995,0
6110,12,1,1-12-2017-001-06,F,6,1,-43,0,43,20,1,2008,4,1,56,50,D,0,995,0
