,CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,OCCNO,SEATLOC,AGE,HEIGHT,WEIGHT,SEX,FETALMORT,ROLE,EYEWEAR,POSTURE,BELTUSE
0,6035,23,1,1-23-2017-001-04,4,1,1,11,77,168,87,1,8,1,9,0,4
1,6045,17,1,1-17-2017-001-10,10,1,1,11,42,999,999,1,8,1,9,99,4
2,6045,17,1,1-17-2017-001-10,10,1,2,13,37,999,999,2,8,2,9,99,4
3,6042,32,1,1-32-2017-001-09,9,1,1,11,25,160,104,2,8,1,1,0,4
4,6050,13,1,1-13-2017-001-04,4,1,1,11,36,175,91,1,8,1,1,0,4
5,6050,13,1,1-13-2017-001-04,4,2,1,11,63,183,88,1,8,1,1,0,4
6,6050,13,1,1-13-2017-001-04,4,3,1,11,67,999,999,2,8,1,9,99,99
7,6054,20,1,1-20-2017-001-10,10,1,1,11,27,170,86,1,8,1,0,0,4
8,6068,19,1,1-19-2017-001-06,6,1,1,11,86,157,59,2,8,1,0,0,4
9,6068,19,1,1-19-2017-001-06,6,2,1,11,37,188,129,1,8,1,0,0,0
10,6092,14,1,1-14-2017-001-05,5,1,1,11,18,185,82,1,8,1,0,0,4
11,6092,14,1,1-14-2017-001-05,5,2,1,11,52,999,999,1,8,1,9,99,4
12,6092,14,1,1-14-2017-001-05,5,2,2,13,45,999,999,2,8,2,9,99,4
13,6103,16,2,1-16-2017-002-03,3,2,1,11,28,999,999,2,8,1,9,0,0
14,6103,16,2,1-16-2017-002-03,3,2,2,13,30,175,84,1,8,2,9,6,4
15,6110,12,1,1-12-2017-001-06,6,1,1,11,28,170,95,1,8,1,0,0,4
16,6113,29,1,1-29-2017-001-03,3,1,1,11,33,999,999,1,8,1,9,99,0
17,6095,24,1,1-24-2017-001-07,7,1,1,11,59,175,91,1,8,1,0,98,4
18,6114,27,1,1-27-2017-001-07,7,1,1,11,26,999,999,1,8,1,9,99,4
19,6105,19,2,1-19-2017-002-05,5,1,1,11,41,180,109,1,8,1,0,99,0
20,6106,19,3,1-19-2017-003-02,2,1,1,11,44,170,98,1,8,1,0,0,4
21,6111,19,4,1-19-2017-004-05,5,1,1,11,36,183,109,2,8,1,0,0,4
22,6130,23,3,1-23-2017-003-06,6,1,1,11,27,999,999,1,8,1,9,99,99
23,6130,23,3,1-23-2017-003-06,6,1,2,13,31,173,75,1,8,2,0,99,99
24,6130,23,3,1-23-2017-003-06,6,2,1,11,30,999,999,1,8,1,9,99,4
25,6122,13,3,1-13-2017-003-09,9,1,1,11,54,157,61,1,8,1,0,0,4
